HB10900234,PCPC-ROUTER-3201,220.128.0.67,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900224,PCPC-ROUTER-3202,220.128.0.68,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900171,PCPC-ROUTER-3201,220.128.0.67,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900262,PCPC-ROUTER-3202,220.128.0.68,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
295D-96332,PCPD-ROUTER-3211,220.128.0.63,PCPC-ROUTER-3301,220.128.33.67,10000,320,160
HB10900236,PCPC-ROUTER-3202,220.128.0.68,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900164,PCPC-ROUTER-3202,220.128.0.68,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900270,PCPC-ROUTER-3202,220.128.0.68,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900190,PCPC-ROUTER-3202,220.128.0.68,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900222,PCPC-ROUTER-3201,220.128.0.67,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900268,PCPC-ROUTER-3201,220.128.0.67,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB20300066,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300154,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300188,CHCH-ROUTER-3301,220.128.33.179,CHCH-ROUTER-3302,220.128.33.180,1000,1000,1000
HB20300286,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300240,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300244,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300242,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300246,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300057,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300287,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300196,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300156,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300238,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300247,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300198,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB20300185,CHCH-ROUTER-3301,220.128.33.179,CHCH-ROUTER-3302,220.128.33.180,10000,100,100
HB10102327,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-3311,220.128.33.17,100000,10,10
HB10102281,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-3311,220.128.33.17,100000,10,10
HB10102279,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-3311,220.128.33.17,100000,10,10
HB20300197,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300058,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300241,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300237,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300065,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300155,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300285,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300195,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300245,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300288,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300153,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300239,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300248,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB20300243,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3301,220.128.33.179,10000,100,100
HB10102677,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-4202,220.128.0.22,10000,100,100
HB10102679,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-4202,220.128.0.22,10000,100,100
HB10102678,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-4202,220.128.0.22,10000,100,100
223D-97471,TPDT-ROUTER-3011,220.128.0.91,SHMZ-ROUTER-3301,220.128.33.99,10000,160,160
227D-96443,TPE4-ROUTER-3201,220.128.0.69,SHMZ-ROUTER-3301,220.128.33.99,10000,60,60
227D-94826,TPE4-ROUTER-3201,220.128.0.69,SHMZ-ROUTER-3301,220.128.33.99,10000,60,60
295D-96329,PCPD-ROUTER-3211,220.128.0.63,SHMZ-ROUTER-3301,220.128.33.99,10000,110,100
223D-90903,TPDT-ROUTER-3011,220.128.0.91,SHMZ-ROUTER-3301,220.128.33.99,10000,160,160
47D-93409,CHCH-ROUTER-3011,220.128.0.179,ULUL-ROUTER-3301,220.128.33.187,10000,160,160
42E-92303,TCHN-ROUTER-3011,220.128.0.139,ULUL-ROUTER-3301,220.128.33.187,10000,160,160
HB20100481,TCHN-ROUTER-3012,220.128.0.140,TCHN-ROUTER-3301,220.128.33.141,100000,100,100
